"","name.cell_line","name.virus","code","genome_coverage"
"11757","NCIH1650","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.064
"11758","HCC2108","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.14
"11759","T98G","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.081
"11760","MCAS","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11761","MINO","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11762","HS729","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.151
"11763","NCIH1734","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11764","T3M10","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11765","YH13","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.078
"11766","MOLT13","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.149
"11767","SNB75","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.147
"11768","SW480","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11769","CL11","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.136
"11770","MDAMB435S","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.15
"11771","SW1990","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11772","PANC0213","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.152
"11773","NCIH684","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11774","LS411N","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.076
"11775","SF539","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.085
"11776","NCIH146","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11777","JEKO1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11778","TE159T","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.147
"11779","KOPN8","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.142
"11780","769P","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.141
"11781","KARPAS422","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11782","253JBV","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.067
"11783","SNUC4","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.081
"11784","HLFA","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.156
"11785","NCIH727","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.15
"11786","OV56","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11787","MOLM16","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.078
"11788","PK59","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.141
"11789","LNCAPCLONEFGC","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.159
"11790","MKN1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.078
"11791","NCIH1355","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.079
"11792","HUPT3","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11793","HCC1195","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.069
"11794","MJ","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.139
"11795","SNGM","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.149
"11796","HCC38","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.085
"11797","KARPAS620","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.066
"11798","HSC2","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11799","MPP89","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.065
"11800","HCC2935","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.145
"11801","HOS","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.078
"11802","HS675T","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.134
"11803","SNU387","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.059
"11804","SUDHL6","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11805","MDAMB436","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.139
"11806","MFE280","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.146
"11807","MDAMB175VII","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11808","HUG1N","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.085
"11809","NCIH1048","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.141
"11810","NCIH660","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11811","A3KAW","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11812","KMS27","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11813","SNU423","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11814","MKN45","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11815","NUGC3","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11816","HS819T","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.055
"11817","SW1417","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.059
"11818","NCIH526","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11819","HEC151","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.145
"11820","SEM","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.074
"11821","RERFLCAD1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11822","KG1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.142
"11823","COLO800","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.135
"11824","ONCODG1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11825","NCIH1623","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11826","KU1919","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11827","A204","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.076
"11828","KNS42","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11829","HUT78","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.15
"11830","NCIH1648","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.075
"11831","GDM1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.117
"11832","SKMM2","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.143
"11833","HCC2157","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.076
"11834","SW900","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11835","CAL33","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11836","PANC0403","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11837","ALLSIL","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.147
"11838","RMUGS","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.141
"11839","CMK","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.064
"11840","NALM19","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11841","HOP92","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.066
"11842","SW1783","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.128
"11843","NCIN417","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.076
"11844","CCFSTTG1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11845","KS1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.137
"11846","HUT102","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11847","PF382","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11848","HS578T","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11849","KIJK","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11850","TCCSUP","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.085
"11851","SW1353","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.084
"11852","KYO1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.14
"11853","NCIH2227","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11854","DBTRG05MG","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.074
"11855","KMRC2","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.088
"11856","PLCPRF5","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11857","NCIH838","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.085
"11858","HCC4006","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11859","DOHH2","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.141
"11860","IGR1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11861","SKMEL31","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.076
"11862","MEWO","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.148
"11863","SKUT1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11864","AN3CA","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.061
"11865","U87MG","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.076
"11866","HCC202","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.078
"11867","TE11","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11868","CALU6","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.084
"11869","CAL29","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11870","P12ICHIKAWA","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.142
"11871","SNU213","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11872","HCC1395","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.064
"11873","CHAGOK1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11874","T173","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11875","KYSE520","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.085
"11876","SKMEL30","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11877","SNU216","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11878","HS294T","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.061
"11879","EFM192A","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11880","KARPAS299","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11881","SNU761","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11882","KYSE270","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11883","SQ1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11884","KHM1B","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11885","NCIH1184","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11886","GA10","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.108
"11887","L1236","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.085
"11888","HT144","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11889","JVM2","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.146
"11890","JHH1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.081
"11891","HCC78","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11892","HS834T","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.15
"11893","RH41","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.088
"11894","JIMT1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.142
"11895","CORL47","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11896","PEER","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11897","HS618T","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11898","LCLC97TM1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11899","KNS81","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11900","MDAMB134VI","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.085
"11901","HUTU80","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.078
"11902","JURLMK1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.151
"11903","HT1376","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.14
"11904","EOL1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.145
"11905","LAMA84","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11906","MDAMB468","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.146
"11907","MELHO","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.076
"11908","SUDHL8","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11909","KMS34","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11910","RT112","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11911","MDST8","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11912","OVCAR4","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11913","SNUC2A","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.147
"11914","SNU620","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.144
"11915","DETROIT562","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11916","KASUMI2","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.15
"11917","SAOS2","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11918","JHH5","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11919","SNU899","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11920","OVK18","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11921","MC116","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.085
"11922","LOVO","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.061
"11923","SBC5","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11924","HS821T","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.144
"11925","KMM1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.151
"11926","TOLEDO","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.09
"11927","OCIAML3","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11928","HS606T","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11929","NCIH2106","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.075
"11930","MFE319","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.15
"11931","LXF289","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.088
"11932","HUH7","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.146
"11933","NCIH929","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.074
"11934","LOUCY","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.148
"11935","SUDHL4","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.145
"11936","RERFLCKJ","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11937","SKMEL24","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.079
"11938","TOV21G","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.139
"11939","MHHCALL3","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.068
"11940","LI7","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.142
"11941","TE9","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11942","KMS28BM","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11943","KMRC1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11944","SKNBE2","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11945","HCC1833","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.147
"11946","TE441T","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.079
"11947","HEC1A","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.068
"11948","MESSA","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.089
"11949","HGC27","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.056
"11950","NCIH854","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11951","NCCSTCK140","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.068
"11952","BEN","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11953","TALL1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11954","TT_THYROID","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11955","BL41","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.077
"11956","TE8","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11957","GB1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.07
"11958","KCL22","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.083
"11959","HEC50B","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.079
"11960","KPNRTBM1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.145
"11961","SW1271","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.08
"11962","JL1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.078
"11963","ACCMESO1","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.14
"11964","HMC18","Orgyia pseudotsugata MNPV, complete genome","NC_001875.2",0.086
"11965","PL21","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.107
"11966","FTC133","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.032
"11967","COV318","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.157
"11968","TUHR14TKB","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.126
"11969","KYO1","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.122
"11970","HCC2302","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.038
"11971","ISHIKAWAHERAKLIO02ER","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.101
"11972","TE10","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.071
"11973","LI7","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.1
"11974","HS895T","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.115
"11975","SKMES1","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.103
"11976","NCIH660","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.072
"11977","HUG1N","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.163
"11978","KU1919","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.275
"11979","SNU886","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.13
"11980","P31FUJ","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.124
"11981","UO31","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.069
"11982","OE21","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.093
"11983","HCC44","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.027
"11984","MFE319","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.183
"11985","SNU626","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.109
"11986","KG1C","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.122
"11987","KASUMI6","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.095
"11988","U266B1","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.101
"11989","KMS26","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.101
"11990","P12ICHIKAWA","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.086
"11991","KNS42","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.205
"11992","ISTMES2","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.131
"11993","VMRCRCW","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.106
"11994","JHOC5","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.101
"11995","SNU761","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.117
"11996","RL952","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.123
"11997","L428","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.195
"11998","LXFL529","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.026
"11999","NCIH2085","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.082
"12000","MOR","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.052
"12001","OVTOKO","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.094
"12002","HOP62","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.122
"12003","OVCA420","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.027
"12004","NCIH1651","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.068
"12005","TOV112D","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.116
"12006","RAJI","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.084
"12007","OCIAML2","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.102
"12008","NCIH2172","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.066
"12009","YAPC","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.065
"12010","TF1","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.066
"12011","SW1573","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.064
"12012","SNU1214","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.126
"12013","TALL1","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.097
"12014","BT474","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.033
"12015","CORL95","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.065
"12016","RCC10RGB","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.122
"12017","OCUM1","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.103
"12018","SKNAS","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.114
"12019","HCC2279","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.127
"12020","COV644","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.067
"12021","SNU410","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.097
"12022","SKNMC","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.12
"12023","SNGM","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.09
"12024","M07E","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.127
"12025","KCL22","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.1
"12026","COLO704","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.027
"12027","PECAPJ41CLONED2","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.099
"12028","LK2","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.066
"12029","A204","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.049
"12030","HT144","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.069
"12031","KARPAS299","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.158
"12032","HSC2","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.134
"12033","SNU869","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.129
"12034","BEN","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.09
"12035","TC71","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.125
"12036","MC116","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.272
"12037","SNU738","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.097
"12038","KNS60","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.089
"12039","TE159T","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.11
"12040","LS1034","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.136
"12041","G141","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.026
"12042","NCIH510A","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.026
"12043","NCIH446","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.026
"12044","SNU449","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.155
"12045","WM2664","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.036
"12046","CCFSTTG1","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.086
"12047","NALM1","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.029
"12048","SCABER","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.094
"12049","SNB75","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.112
"12050","NCIH684","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.103
"12051","SNU899","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.114
"12052","CAKI2","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.151
"12053","NCIH2347","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.068
"12054","DEL","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.086
"12055","L363","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.071
"12056","NCIH209","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.105
"12057","SNU201","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.068
"12058","JHH5","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.123
"12059","SW1417","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.111
"12060","HS839T","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.115
"12061","MFE280","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.104
"12062","HCC461","Cyprinid herpesvirus 1 strain NG-J1, complete genome","NC_019491.1",0.037
